mu,rep,seed,episodes,ep_len_steps,distance_m,slip_per_100m,falls_per_100m,vel_err
0.35,1,1,100,451.7,1.65,394.19,60.68,0.321
0.35,2,2,100,445.8,1.76,365.84,56.86,0.355
0.35,3,3,100,404.4,1.45,409.95,68.94,0.383
0.45,1,1,100,364.1,1.71,281.41,58.58,0.293
0.45,2,2,100,469.8,1.87,328.35,53.59,0.246
0.45,3,3,100,360.2,1.66,287.11,60.26,0.303
0.55,1,1,100,456.8,2.14,242.29,46.65,0.266
0.55,2,2,100,398.5,2.08,223.06,47.98,0.304
0.55,3,3,100,519.1,2.39,266.14,41.78,0.245
0.65,1,1,100,425.7,2.16,210.92,46.36,0.284
0.65,2,2,100,492.2,2.44,217.63,41.02,0.270
0.65,3,3,100,526.3,2.64,210.90,37.82,0.262
0.75,1,1,100,616.3,3.30,178.84,30.34,0.245
0.75,2,2,100,593.5,3.12,176.57,32.07,0.236
0.75,3,3,100,476.0,2.58,171.93,38.78,0.301
0.85,1,1,100,635.3,3.45,156.01,28.96,0.268
0.85,2,2,100,601.2,3.25,160.40,30.74,0.263
0.85,3,3,100,474.3,2.63,157.38,38.02,0.279
