mu,rep,seed,episodes,ep_len_steps,distance_m,slip_per_100m,falls_per_100m,vel_err
0.35,1,1,100,432.3,1.82,319.64,54.85,0.291
0.35,2,2,100,439.2,1.87,324.60,53.54,0.261
0.45,1,1,100,455.7,1.81,311.66,55.29,0.254
0.45,2,2,100,465.1,2.15,263.74,46.42,0.238
0.55,1,1,100,571.4,2.71,223.58,36.85,0.239
0.55,2,2,100,656.7,2.99,244.68,33.40,0.183
0.65,1,1,100,506.2,2.54,199.70,39.44,0.264
0.65,2,2,100,668.3,3.60,177.26,27.82,0.243
0.75,1,1,100,691.6,3.63,159.40,27.52,0.210
0.75,2,2,100,766.0,4.01,168.16,24.94,0.242
0.85,1,1,100,720.7,4.20,141.28,23.79,0.276
0.85,2,2,100,762.8,3.75,164.43,26.63,0.232
