mu,rep,seed,episodes,ep_len_steps,distance_m,slip_per_100m,falls_per_100m,vel_err
0.35,1,1,100,984.5,3.82,331.78,26.17,0.217
0.35,2,2,100,969.8,4.26,294.33,23.47,0.245
0.45,1,1,100,733.8,3.21,277.87,31.20,0.232
0.45,2,2,100,606.7,2.34,313.37,42.69,0.249
0.55,1,1,100,673.4,2.86,262.16,35.01,0.221
0.55,2,2,100,694.6,3.13,246.09,31.98,0.197
0.65,1,1,100,895.1,3.60,246.11,27.78,0.173
0.65,2,2,100,736.2,3.44,220.20,29.05,0.214
0.75,1,1,100,706.6,3.27,189.84,30.62,0.221
0.75,2,2,100,613.7,3.25,167.18,30.75,0.220
0.85,1,1,100,715.3,3.32,179.98,30.16,0.209
0.85,2,2,100,746.7,3.53,184.19,28.35,0.229
