mu,rep,seed,episodes,ep_len_steps,distance_m,slip_per_100m,falls_per_100m,vel_err
0.35,1,1,100,499.9,2.04,314.18,49.12,0.279
0.35,2,2,100,390.3,1.64,304.59,60.92,0.347
0.45,1,1,100,466.2,2.14,273.63,46.79,0.260
0.45,2,2,100,474.6,2.27,242.65,44.08,0.249
0.55,1,1,100,568.6,2.80,212.35,35.68,0.277
0.55,2,2,100,566.5,2.64,236.97,37.84,0.309
0.65,1,1,100,567.7,3.28,164.20,30.53,0.259
0.65,2,2,100,550.8,3.05,172.60,32.84,0.262
0.75,1,1,100,715.6,3.78,167.81,26.43,0.235
0.75,2,2,100,495.2,2.85,146.39,35.05,0.272
0.85,1,1,100,687.6,4.06,128.53,24.62,0.258
0.85,2,2,100,586.5,3.54,125.45,28.24,0.274
