mu,K,kc,k_phi,seed,force_coupling,ep_len_steps,distance_m,falls_per_100m,slip_per_100m,vel_err,dfh_mean_sink_m,dfh_max_sink_m,dfh_mean_sink_drag_n,dfh_mean_aniso_drag_n,dfh_mean_applied_drag_n,dfh_total_drag_per_robot_n,dfh_applied_drag_pct_weight,dfh_drag_clipped_frac,dfh_mean_normal_force_n,dfh_stance_fraction,dfh_force_coupling_on,dfh_attached
0.5,1.0,1400.0,820000.0,1,True,864.0,0.85,28.21,784.01,0.366,0.049776,0.0499,33.853414,9.669582,42.859135,52.007724,0.085508,0.007262,84.682553,0.324592,1.0,1.0
0.5,2.0,2800.0,1640000.0,1,True,863.7,0.84,26.16,771.96,0.375,0.049744,0.04985,33.548858,9.128117,42.007041,51.33154,0.084396,0.006687,83.915976,0.328154,1.0,1.0
0.5,4.0,5600.0,3280000.0,1,True,701.7,0.96,41.79,569.58,0.467,0.049835,0.0499,35.120832,9.912796,44.342896,55.730632,0.091629,0.006987,87.830622,0.339675,1.0,1.0
0.5,8.0,11200.0,6560000.0,1,True,860.6,0.87,20.76,722.94,0.381,0.049779,0.04985,34.501148,9.016064,42.815526,54.797312,0.090095,0.006942,86.28696,0.329876,1.0,1.0
0.5,16.0,22400.0,13120000.0,1,True,743.7,0.87,34.49,681.38,0.433,0.049736,0.04985,33.059188,8.712307,41.131347,50.546797,0.083106,0.006371,82.696536,0.314194,1.0,1.0
0.56,1.0,1400.0,820000.0,1,True,674.5,0.85,47.32,654.91,0.463,0.049817,0.0499,33.88762,8.945243,42.183595,52.151767,0.085745,0.007541,84.750877,0.325348,1.0,1.0
0.56,2.0,2800.0,1640000.0,1,True,868.6,0.97,16.5,681.37,0.371,0.04977,0.04985,33.999469,8.979362,42.288778,52.63291,0.086536,0.007312,85.033638,0.324579,1.0,1.0
0.56,4.0,5600.0,3280000.0,1,True,820.7,0.97,22.77,635.21,0.417,0.049803,0.049875,35.12096,9.393169,43.993249,56.101294,0.092238,0.00644,87.841539,0.342754,1.0,1.0
0.56,8.0,11200.0,6560000.0,1,True,870.2,0.88,20.37,788.23,0.367,0.049739,0.04985,31.120051,8.700971,39.224818,48.202298,0.079251,0.006119,77.84478,0.282344,1.0,1.0
0.56,16.0,22400.0,13120000.0,1,True,711.1,0.96,39.57,553.28,0.467,0.049747,0.04985,31.752347,8.605143,39.671842,48.20051,0.079248,0.006657,79.42398,0.290722,1.0,1.0
0.62,1.0,1400.0,820000.0,1,True,843.0,0.77,33.82,843.2,0.368,0.049778,0.049882,32.859014,9.03265,41.282413,49.506002,0.081395,0.00656,82.203046,0.314418,1.0,1.0
0.62,2.0,2800.0,1640000.0,1,True,818.2,0.83,26.66,797.15,0.37,0.049755,0.04985,35.326309,9.950089,44.388962,56.13531,0.092294,0.008773,88.353771,0.339545,1.0,1.0
0.62,4.0,5600.0,3280000.0,1,True,916.2,0.89,15.79,835.92,0.35,0.049797,0.049886,32.932864,8.478953,40.952057,52.671509,0.086599,0.005113,82.384235,0.305743,1.0,1.0
0.62,8.0,11200.0,6560000.0,1,True,827.2,0.84,33.33,754.25,0.399,0.049758,0.04985,33.577546,9.151032,42.015678,51.657141,0.084932,0.007147,83.985414,0.319739,1.0,1.0
0.62,16.0,22400.0,13120000.0,1,True,784.3,0.86,30.07,712.42,0.411,0.04974,0.04985,31.061285,8.657701,39.145875,48.602619,0.07991,0.005545,77.694685,0.281615,1.0,1.0
