mu,K,kc,k_phi,seed,force_coupling,ep_len_steps,distance_m,falls_per_100m,slip_per_100m,vel_err,dfh_mean_sink_m,dfh_max_sink_m,dfh_mean_sink_drag_n,dfh_mean_aniso_drag_n,dfh_mean_applied_drag_n,dfh_total_drag_per_robot_n,dfh_applied_drag_pct_weight,dfh_drag_clipped_frac,dfh_mean_normal_force_n,dfh_stance_fraction,dfh_force_coupling_on,dfh_attached
0.5,1.0,1400.0,820000.0,1,True,819.9,3.27,9.18,188.27,0.177,0.049162,0.0499,31.858504,4.000932,35.794283,55.450046,0.091168,0.00082,80.01862,0.366182,1.0,1.0
0.5,2.0,2800.0,1640000.0,1,True,907.2,3.53,5.1,186.61,0.121,0.047549,0.0499,31.102678,4.003242,35.048594,54.231052,0.089164,0.000665,80.064819,0.370553,1.0,1.0
0.5,4.0,5600.0,3280000.0,1,True,826.8,1.65,21.81,450.31,0.169,0.031932,0.04983,19.666542,3.715784,23.328515,39.088135,0.064266,0.000691,74.315672,0.305463,1.0,1.0
0.5,8.0,11200.0,6560000.0,1,True,871.3,0.98,14.25,905.86,0.191,0.015559,0.037825,8.869861,3.460727,12.322298,22.325652,0.036707,0.000135,69.214527,0.252477,1.0,1.0
0.5,16.0,22400.0,13120000.0,1,True,905.6,0.99,10.09,949.08,0.208,0.007635,0.02128,4.284381,3.387716,7.661943,14.368897,0.023625,6.2e-05,67.754303,0.230691,1.0,1.0
0.56,1.0,1400.0,820000.0,1,True,878.0,4.04,4.45,151.67,0.13,0.049206,0.0499,33.244952,9.180831,42.370898,63.15314,0.103833,0.000647,83.462092,0.386969,1.0,1.0
0.56,2.0,2800.0,1640000.0,1,True,864.9,3.94,5.08,156.67,0.138,0.047626,0.0499,32.221476,9.100164,41.239045,61.313162,0.100808,0.000893,82.728753,0.376766,1.0,1.0
0.56,4.0,5600.0,3280000.0,1,True,759.2,2.33,25.71,271.21,0.157,0.032191,0.049735,20.90818,8.557542,29.339163,46.665903,0.076725,0.001475,77.795825,0.341984,1.0,1.0
0.56,8.0,11200.0,6560000.0,1,True,904.0,1.48,9.45,579.69,0.14,0.015747,0.038712,9.259938,7.816128,17.039077,29.794544,0.048986,0.000318,71.055697,0.279642,1.0,1.0
0.56,16.0,22400.0,13120000.0,1,True,894.3,0.96,12.53,952.52,0.192,0.007765,0.020909,4.464589,7.583992,12.018519,21.88429,0.035981,0.000258,68.945376,0.249794,1.0,1.0
0.62,1.0,1400.0,820000.0,1,True,876.2,4.17,5.75,134.58,0.101,0.049254,0.0499,34.476542,14.708905,49.063654,69.613179,0.114454,0.001336,86.522965,0.39485,1.0,1.0
0.62,2.0,2800.0,1640000.0,1,True,888.8,4.21,3.8,145.38,0.136,0.047844,0.0499,33.647616,14.633431,48.225382,69.540641,0.114335,0.000754,86.078997,0.392631,1.0,1.0
0.62,4.0,5600.0,3280000.0,1,True,859.2,3.34,8.39,197.11,0.126,0.03341,0.049859,22.401242,13.681719,35.934899,54.877825,0.090227,0.001548,80.480689,0.364116,1.0,1.0
0.62,8.0,11200.0,6560000.0,1,True,815.4,1.99,20.09,353.05,0.162,0.016577,0.045644,10.370088,12.634082,22.879446,38.383772,0.063108,0.00106,74.318121,0.310061,1.0,1.0
0.62,16.0,22400.0,13120000.0,1,True,898.4,1.46,13.66,576.61,0.163,0.007983,0.024085,4.735678,12.08282,16.791625,29.64391,0.048739,0.000254,71.075403,0.280671,1.0,1.0
