mu,K,kc,k_phi,seed,force_coupling,ep_len_steps,distance_m,falls_per_100m,slip_per_100m,vel_err,dfh_mean_sink_m,dfh_max_sink_m,dfh_mean_sink_drag_n,dfh_mean_aniso_drag_n,dfh_mean_applied_drag_n,dfh_total_drag_per_robot_n,dfh_applied_drag_pct_weight,dfh_drag_clipped_frac,dfh_mean_normal_force_n,dfh_stance_fraction,dfh_force_coupling_on,dfh_attached
0.5,1.0,1400.0,820000.0,1,True,973.1,2.73,1.47,141.41,0.115,0.049316,0.0499,43.194586,5.414253,48.338871,56.225088,0.092442,0.004356,108.285037,0.482268,1.0,1.0
0.5,2.0,2800.0,1640000.0,1,True,951.7,2.75,2.19,139.15,0.119,0.048195,0.0499,42.491417,5.391088,47.604512,55.778915,0.091708,0.00522,107.821737,0.476866,1.0,1.0
0.5,4.0,5600.0,3280000.0,1,True,993.3,3.06,0.65,142.61,0.095,0.040258,0.0499,35.84477,5.270574,40.853879,49.265187,0.080999,0.004275,105.411452,0.469859,1.0,1.0
0.5,8.0,11200.0,6560000.0,1,True,945.4,4.18,2.39,144.06,0.109,0.021754,0.048875,19.144953,4.915994,23.756484,30.791633,0.050626,0.00402,98.319864,0.435127,1.0,1.0
0.5,16.0,22400.0,13120000.0,1,True,978.8,4.98,2.01,152.48,0.087,0.011052,0.033368,9.314309,4.76973,14.011657,19.149728,0.031485,0.000556,95.394586,0.44966,1.0,1.0
0.56,1.0,1400.0,820000.0,1,True,975.8,2.3,1.74,159.42,0.11,0.049374,0.0499,44.865753,12.367422,56.600242,64.051639,0.10531,0.010053,112.431097,0.494226,1.0,1.0
0.56,2.0,2800.0,1640000.0,1,True,1000.3,2.32,0.86,160.22,0.095,0.048418,0.0499,44.265255,12.327026,56.04704,63.375769,0.104199,0.009221,112.063861,0.496138,1.0,1.0
0.56,4.0,5600.0,3280000.0,1,True,942.1,3.02,3.97,132.61,0.134,0.040778,0.0499,37.271661,11.882959,48.532787,56.754677,0.093313,0.008888,108.026885,0.473874,1.0,1.0
0.56,8.0,11200.0,6560000.0,1,True,876.4,3.56,5.62,124.27,0.153,0.022889,0.049231,20.5227,11.214981,31.331239,39.135544,0.064344,0.004652,101.954356,0.455078,1.0,1.0
0.56,16.0,22400.0,13120000.0,1,True,966.5,4.51,3.1,144.54,0.1,0.011006,0.033282,9.845826,10.729482,20.445568,26.921296,0.044262,0.002018,97.540737,0.428605,1.0,1.0
0.62,1.0,1400.0,820000.0,1,True,982.0,2.59,0.77,146.99,0.118,0.049429,0.0499,45.869851,19.536489,64.241878,70.524817,0.115953,0.017934,114.920512,0.495546,1.0,1.0
0.62,2.0,2800.0,1640000.0,1,True,971.1,2.44,2.46,150.55,0.102,0.048527,0.0499,45.536786,19.573672,64.120496,70.257395,0.115513,0.016849,115.139236,0.503374,1.0,1.0
0.62,4.0,5600.0,3280000.0,1,True,925.5,2.99,4.69,126.07,0.108,0.041937,0.0499,39.510667,19.084611,57.715385,64.802398,0.106544,0.014632,112.262409,0.494861,1.0,1.0
0.62,8.0,11200.0,6560000.0,1,True,834.8,2.89,9.01,124.83,0.142,0.02343,0.049445,21.488337,17.86306,38.820345,46.914675,0.077134,0.006182,105.076812,0.471139,1.0,1.0
0.62,16.0,22400.0,13120000.0,1,True,941.3,3.65,3.29,134.95,0.115,0.011399,0.033135,10.183237,17.083279,27.075452,34.379849,0.056525,0.002398,100.489868,0.452769,1.0,1.0
