mu,K,kc,k_phi,seed,force_coupling,ep_len_steps,distance_m,falls_per_100m,slip_per_100m,vel_err,dfh_mean_sink_m,dfh_max_sink_m,dfh_mean_sink_drag_n,dfh_mean_aniso_drag_n,dfh_mean_applied_drag_n,dfh_total_drag_per_robot_n,dfh_applied_drag_pct_weight,dfh_drag_clipped_frac,dfh_mean_normal_force_n,dfh_stance_fraction,dfh_force_coupling_on,dfh_attached
0.5,1.0,1400.0,820000.0,1,True,841.4,3.47,8.07,171.71,0.132,0.049178,0.0499,31.851954,3.999639,35.797819,54.765789,0.090043,0.000591,79.992762,0.368285,1.0,1.0
0.5,1.0,1400.0,820000.0,2,True,819.8,3.23,8.68,182.59,0.141,0.049163,0.0499,31.905632,4.006521,35.866043,55.308021,0.090934,0.000531,80.130402,0.371551,1.0,1.0
0.5,1.0,1400.0,820000.0,3,True,846.9,3.3,7.89,186.84,0.156,0.049153,0.0499,31.867804,4.002291,35.810936,55.366347,0.09103,0.000696,80.045794,0.363768,1.0,1.0
0.5,2.0,2800.0,1640000.0,1,True,766.7,2.89,15.89,200.72,0.18,0.047453,0.0499,30.824786,3.973543,34.726116,53.630001,0.088175,0.000812,79.470836,0.361491,1.0,1.0
0.5,2.0,2800.0,1640000.0,2,True,911.2,3.53,5.1,191.07,0.116,0.047484,0.0499,30.939806,3.985627,34.880544,54.238133,0.089175,0.000587,79.71253,0.363262,1.0,1.0
0.5,2.0,2800.0,1640000.0,3,True,843.8,3.41,8.21,177.02,0.126,0.047612,0.0499,31.017971,3.987903,34.95284,53.685497,0.088267,0.00064,79.758048,0.367969,1.0,1.0
0.5,4.0,5600.0,3280000.0,1,True,830.8,1.97,24.41,372.02,0.148,0.031953,0.049653,19.897726,3.738459,23.548988,38.908318,0.063971,0.001008,74.769156,0.307043,1.0,1.0
0.5,4.0,5600.0,3280000.0,2,True,835.8,1.78,24.76,402.35,0.164,0.031851,0.049626,19.765911,3.731087,23.432808,39.223746,0.064489,0.00073,74.621718,0.303948,1.0,1.0
0.5,4.0,5600.0,3280000.0,3,True,822.7,1.8,27.81,400.97,0.158,0.032259,0.04959,19.940411,3.725581,23.575214,39.187622,0.06443,0.00084,74.51161,0.301719,1.0,1.0
0.5,8.0,11200.0,6560000.0,1,True,949.7,0.94,6.37,1030.33,0.154,0.01542,0.031484,8.690799,3.441937,12.124043,22.159084,0.036433,0.0001,68.838714,0.25093,1.0,1.0
0.5,8.0,11200.0,6560000.0,2,True,874.7,1.16,12.1,765.13,0.197,0.015484,0.035528,8.830284,3.459344,12.274493,22.471094,0.036946,0.000171,69.186866,0.249584,1.0,1.0
0.5,8.0,11200.0,6560000.0,3,True,968.2,1.22,6.54,794.65,0.146,0.01554,0.039157,8.833145,3.451233,12.278612,22.192444,0.036488,0.000123,69.024635,0.252601,1.0,1.0
0.5,16.0,22400.0,13120000.0,1,True,944.1,0.98,6.14,1007.77,0.184,0.007615,0.022359,4.261126,3.386779,7.644468,14.29828,0.023508,3.4e-05,67.735573,0.231583,1.0,1.0
0.5,16.0,22400.0,13120000.0,2,True,891.9,1.0,13.94,934.31,0.192,0.007654,0.023954,4.280467,3.385391,7.660657,14.432582,0.023729,5.5e-05,67.707797,0.23162,1.0,1.0
0.5,16.0,22400.0,13120000.0,3,True,872.1,0.86,16.36,1076.75,0.197,0.007575,0.020742,4.223291,3.377434,7.595184,14.221457,0.023382,8.7e-05,67.548674,0.229312,1.0,1.0
0.56,1.0,1400.0,820000.0,1,True,871.1,3.96,4.54,151.43,0.125,0.04924,0.0499,33.079042,9.132653,42.146104,62.434469,0.102651,0.000701,83.024105,0.38155,1.0,1.0
0.56,1.0,1400.0,820000.0,2,True,876.5,3.9,5.13,149.27,0.14,0.049221,0.0499,33.197284,9.166712,42.270621,62.734693,0.103145,0.000959,83.333737,0.382336,1.0,1.0
0.56,1.0,1400.0,820000.0,3,True,846.7,3.65,8.21,158.15,0.133,0.049212,0.0499,33.079227,9.134517,42.145377,62.039972,0.102003,0.00075,83.041055,0.38138,1.0,1.0
0.56,2.0,2800.0,1640000.0,1,True,891.5,3.98,4.52,157.19,0.102,0.04779,0.0499,32.431282,9.141262,41.51858,62.020079,0.10197,0.000731,83.102369,0.382852,1.0,1.0
0.56,2.0,2800.0,1640000.0,2,True,837.3,3.7,7.56,166.05,0.132,0.047737,0.0499,32.37484,9.128055,41.440001,61.852424,0.101694,0.00069,82.98231,0.382035,1.0,1.0
0.56,2.0,2800.0,1640000.0,3,True,821.8,3.6,6.67,163.92,0.14,0.047644,0.0499,32.260334,9.105911,41.299754,61.888259,0.101753,0.000754,82.780999,0.380039,1.0,1.0
0.56,4.0,5600.0,3280000.0,1,True,805.8,2.8,13.57,237.41,0.16,0.032336,0.049752,20.723751,8.481432,29.110249,46.000804,0.075632,0.001035,77.103917,0.343417,1.0,1.0
0.56,4.0,5600.0,3280000.0,2,True,708.7,1.83,40.36,324.29,0.188,0.032779,0.049802,21.140046,8.518139,29.512047,47.148395,0.077519,0.001408,77.437617,0.335309,1.0,1.0
0.56,4.0,5600.0,3280000.0,3,True,797.3,2.51,22.34,264.84,0.156,0.032516,0.049773,21.078166,8.550395,29.505718,47.139819,0.077505,0.001308,77.730854,0.342386,1.0,1.0
0.56,8.0,11200.0,6560000.0,1,True,918.6,1.53,11.8,577.21,0.144,0.015885,0.038766,9.311412,7.805943,17.076056,30.249597,0.049735,0.000299,70.963111,0.27964,1.0,1.0
0.56,8.0,11200.0,6560000.0,2,True,951.6,1.43,8.37,629.58,0.136,0.015782,0.040435,9.304292,7.833709,17.100031,30.260857,0.049753,0.000316,71.215526,0.280657,1.0,1.0
0.56,8.0,11200.0,6560000.0,3,True,908.4,1.34,10.41,645.29,0.165,0.01574,0.038889,9.166335,7.775244,16.914551,29.882779,0.049132,0.000219,70.684025,0.276862,1.0,1.0
0.56,16.0,22400.0,13120000.0,1,True,934.4,1.09,9.15,860.27,0.164,0.007803,0.021633,4.444506,7.59584,12.029183,22.09834,0.036333,0.000106,69.05308,0.25215,1.0,1.0
0.56,16.0,22400.0,13120000.0,2,True,928.4,1.1,9.1,853.87,0.163,0.007792,0.021088,4.438652,7.595005,12.024796,22.051379,0.036256,0.0001,69.045492,0.250401,1.0,1.0
0.56,16.0,22400.0,13120000.0,3,True,932.4,1.09,9.15,855.16,0.154,0.007819,0.023304,4.449883,7.590653,12.022791,21.659336,0.035611,8.4e-05,69.005931,0.251228,1.0,1.0
0.62,1.0,1400.0,820000.0,1,True,850.1,3.93,5.6,143.73,0.131,0.049246,0.0499,34.348528,14.654109,48.903383,69.191284,0.11376,0.001301,86.20063,0.391665,1.0,1.0
0.62,1.0,1400.0,820000.0,2,True,868.5,4.35,4.6,133.1,0.125,0.049249,0.0499,34.621711,14.769791,49.312754,70.461302,0.115848,0.001099,86.881113,0.39865,1.0,1.0
0.62,1.0,1400.0,820000.0,3,True,923.6,4.54,3.53,128.4,0.101,0.049277,0.0499,34.301775,14.631358,48.840836,69.713236,0.114618,0.001082,86.066806,0.388518,1.0,1.0
0.62,2.0,2800.0,1640000.0,1,True,855.0,4.18,5.74,136.87,0.131,0.047865,0.0499,33.748652,14.671275,48.32814,69.154459,0.1137,0.001252,86.301607,0.393268,1.0,1.0
0.62,2.0,2800.0,1640000.0,2,True,887.0,3.96,5.55,144.74,0.12,0.047772,0.0499,33.591186,14.616382,48.108084,68.612608,0.112809,0.001443,85.978709,0.38844,1.0,1.0
0.62,2.0,2800.0,1640000.0,3,True,888.2,4.06,3.94,142.42,0.116,0.047914,0.0499,33.698974,14.642582,48.267198,69.789462,0.114744,0.001082,86.132829,0.392344,1.0,1.0
0.62,4.0,5600.0,3280000.0,1,True,873.9,3.3,7.88,195.56,0.136,0.033138,0.049741,22.149331,13.6693,35.691363,55.30326,0.090926,0.00127,80.407638,0.37008,1.0,1.0
0.62,4.0,5600.0,3280000.0,2,True,874.3,3.17,7.58,212.57,0.138,0.033148,0.049847,22.275961,13.705827,35.867907,54.892423,0.090251,0.001444,80.622502,0.370125,1.0,1.0
