mu,K,kc,k_phi,seed,force_coupling,ep_len_steps,distance_m,falls_per_100m,slip_per_100m,vel_err,dfh_mean_sink_m,dfh_max_sink_m,dfh_mean_sink_drag_n,dfh_mean_aniso_drag_n,dfh_mean_applied_drag_n,dfh_total_drag_per_robot_n,dfh_applied_drag_pct_weight,dfh_drag_clipped_frac,dfh_mean_normal_force_n,dfh_stance_fraction,dfh_force_coupling_on,dfh_attached
0.5,0.8,1120.0,656000.0,1,True,812.2,3.49,10.32,170.03,0.13,0.049382,0.0499,32.051174,4.017485,35.991662,55.573554,0.091371,0.000782,80.34968,0.368246,1.0,1.0
0.5,0.8,1120.0,656000.0,2,True,797.5,3.32,8.43,179.48,0.167,0.049367,0.0499,31.944688,4.004264,35.900776,54.829158,0.090147,0.000548,80.085269,0.367494,1.0,1.0
0.5,0.8,1120.0,656000.0,3,True,849.4,3.4,7.06,191.07,0.164,0.049356,0.0499,31.966332,4.007288,35.924347,55.222238,0.090793,0.000643,80.145746,0.37295,1.0,1.0
0.5,1.0,1400.0,820000.0,1,True,863.6,3.34,7.79,188.41,0.134,0.049154,0.0499,31.885014,4.004273,35.830484,55.075856,0.090553,0.000624,80.085443,0.367352,1.0,1.0
0.5,1.0,1400.0,820000.0,2,True,865.1,3.69,5.42,168.92,0.14,0.049149,0.0499,32.015672,4.020592,35.99359,55.576242,0.091375,0.00053,80.411821,0.373492,1.0,1.0
0.5,1.0,1400.0,820000.0,3,True,860.9,3.58,6.7,173.06,0.129,0.049168,0.0499,31.957845,4.013173,35.932474,55.551622,0.091335,0.000455,80.263434,0.373538,1.0,1.0
0.5,1.25,1750.0,1025000.0,1,True,846.1,3.5,6.86,180.91,0.137,0.048892,0.0499,31.869872,4.013512,35.82864,54.962873,0.090367,0.000518,80.270225,0.372112,1.0,1.0
0.5,1.25,1750.0,1025000.0,2,True,932.3,3.46,5.79,203.23,0.101,0.048903,0.0499,31.917187,4.019604,35.890657,55.561938,0.091352,0.000519,80.392051,0.371696,1.0,1.0
0.5,1.25,1750.0,1025000.0,3,True,800.1,3.16,10.77,188.83,0.135,0.048875,0.0499,31.717815,3.995311,35.655227,55.085424,0.090568,0.000669,79.9062,0.363703,1.0,1.0
0.56,0.8,1120.0,656000.0,1,True,880.9,4.0,4.5,150.76,0.138,0.049413,0.0499,33.407929,9.209847,42.537542,63.42629,0.104282,0.000868,83.725866,0.388617,1.0,1.0
0.56,0.8,1120.0,656000.0,2,True,861.3,4.33,5.08,131.35,0.126,0.049426,0.0499,33.498481,9.233661,42.612707,63.270288,0.104025,0.001019,83.942366,0.388452,1.0,1.0
0.56,0.8,1120.0,656000.0,3,True,860.5,3.8,6.32,149.03,0.112,0.049405,0.0499,33.269343,9.172011,42.385147,63.02546,0.103623,0.000655,83.381912,0.385715,1.0,1.0
0.56,1.0,1400.0,820000.0,1,True,856.3,3.83,7.31,155.42,0.116,0.049221,0.0499,33.286558,9.191481,42.394601,62.20903,0.10228,0.000917,83.558906,0.381823,1.0,1.0
0.56,1.0,1400.0,820000.0,2,True,837.9,3.8,7.36,150.7,0.158,0.049224,0.0499,33.29612,9.193814,42.377178,62.627811,0.102969,0.001173,83.580112,0.38221,1.0,1.0
0.56,1.0,1400.0,820000.0,3,True,842.8,3.9,7.17,149.06,0.135,0.049205,0.0499,33.28408,9.190522,42.385584,62.678464,0.103052,0.000992,83.550191,0.385529,1.0,1.0
0.56,1.25,1750.0,1025000.0,1,True,849.2,3.94,5.58,152.33,0.122,0.048975,0.0499,33.093251,9.162179,42.194203,62.718238,0.103118,0.000634,83.292525,0.387591,1.0,1.0
0.56,1.25,1750.0,1025000.0,2,True,773.6,3.54,10.17,153.24,0.142,0.048949,0.0499,33.172071,9.18431,42.263737,62.258175,0.102361,0.000908,83.493712,0.38564,1.0,1.0
0.56,1.25,1750.0,1025000.0,3,True,878.6,3.99,5.02,150.12,0.132,0.048922,0.0499,33.027436,9.147119,42.108077,62.361347,0.102531,0.000662,83.155617,0.380552,1.0,1.0
0.62,0.8,1120.0,656000.0,1,True,910.1,4.42,3.62,127.42,0.106,0.049457,0.0499,34.453478,14.67562,49.017816,70.588889,0.116058,0.001259,86.32717,0.389619,1.0,1.0
0.62,0.8,1120.0,656000.0,2,True,871.0,4.26,3.76,130.53,0.163,0.049446,0.0499,34.671232,14.76804,49.306443,70.469148,0.115861,0.001359,86.870816,0.39443,1.0,1.0
0.62,0.8,1120.0,656000.0,3,True,910.6,4.27,4.21,135.7,0.096,0.049461,0.0499,34.495212,14.692495,49.087953,70.481972,0.115882,0.001276,86.426436,0.393551,1.0,1.0
0.62,1.0,1400.0,820000.0,1,True,882.6,4.24,4.72,134.14,0.113,0.049258,0.0499,34.408671,14.678878,49.029484,70.058932,0.115187,0.000855,86.346336,0.396472,1.0,1.0
0.62,1.0,1400.0,820000.0,2,True,958.6,4.64,1.73,133.22,0.088,0.04927,0.0499,34.435014,14.689373,49.049023,70.444539,0.115821,0.001069,86.408069,0.392754,1.0,1.0
0.62,1.0,1400.0,820000.0,3,True,852.2,4.08,5.39,133.61,0.141,0.049263,0.0499,34.601094,14.761464,49.251939,70.268488,0.115531,0.001295,86.83213,0.395625,1.0,1.0
0.62,1.25,1750.0,1025000.0,1,True,911.9,4.3,3.25,136.3,0.117,0.048981,0.0499,34.578174,14.791529,49.244362,70.257866,0.115514,0.001465,87.008986,0.396169,1.0,1.0
0.62,1.25,1750.0,1025000.0,2,True,873.9,4.23,3.78,126.39,0.134,0.048973,0.0499,34.396196,14.714609,49.025312,70.187984,0.115399,0.001085,86.556517,0.396364,1.0,1.0
0.62,1.25,1750.0,1025000.0,3,True,911.8,4.48,2.68,125.27,0.122,0.049011,0.0499,34.451959,14.732973,49.081825,70.504978,0.11592,0.001285,86.664541,0.393524,1.0,1.0
