mu,K,kc,k_phi,seed,force_coupling,ep_len_steps,distance_m,falls_per_100m,slip_per_100m,vel_err,dfh_mean_sink_m,dfh_max_sink_m,dfh_mean_sink_drag_n,dfh_mean_aniso_drag_n,dfh_mean_applied_drag_n,dfh_total_drag_per_robot_n,dfh_applied_drag_pct_weight,dfh_drag_clipped_frac,dfh_mean_normal_force_n,dfh_stance_fraction,dfh_force_coupling_on,dfh_attached
0.5,1.0,1400.0,820000.0,1,True,918.1,2.72,4.41,130.07,0.122,0.049302,0.0499,43.325497,5.43039,48.478141,56.406926,0.092741,0.005113,108.607772,0.480923,1.0,1.0
0.5,1.0,1400.0,820000.0,2,True,945.6,2.6,3.07,141.66,0.111,0.049308,0.0499,43.301434,5.427389,48.458292,56.559374,0.092992,0.00451,108.547748,0.48468,1.0,1.0
0.5,1.0,1400.0,820000.0,3,True,932.3,2.58,3.1,141.08,0.134,0.049312,0.0499,43.20172,5.414958,48.398935,56.444071,0.092802,0.004391,108.299129,0.484725,1.0,1.0
0.5,2.0,2800.0,1640000.0,1,True,953.4,2.7,2.97,143.12,0.112,0.048224,0.0499,42.631807,5.406962,47.789289,55.827925,0.091789,0.004457,108.139223,0.480856,1.0,1.0
0.5,2.0,2800.0,1640000.0,2,True,936.7,2.85,4.22,135.77,0.121,0.048181,0.0499,42.563034,5.40002,47.667061,55.894206,0.091898,0.005456,108.000373,0.474622,1.0,1.0
0.5,2.0,2800.0,1640000.0,3,True,966.2,2.82,2.13,143.97,0.114,0.048194,0.0499,42.750995,5.423162,47.867261,55.934714,0.091965,0.005514,108.463217,0.477874,1.0,1.0
0.5,4.0,5600.0,3280000.0,1,True,943.3,3.08,3.24,138.4,0.126,0.039802,0.0499,35.500925,5.244062,40.421697,48.882847,0.08037,0.005526,104.881224,0.462838,1.0,1.0
0.5,4.0,5600.0,3280000.0,2,True,957.3,3.28,1.83,141.29,0.104,0.039985,0.0499,35.203869,5.198916,40.168841,48.825724,0.080276,0.004489,103.97829,0.462949,1.0,1.0
0.5,4.0,5600.0,3280000.0,3,True,977.6,3.25,1.84,143.72,0.096,0.040123,0.0499,35.443967,5.226108,40.434963,48.993302,0.080552,0.004289,104.52214,0.466257,1.0,1.0
0.5,8.0,11200.0,6560000.0,1,True,971.4,4.48,1.78,141.67,0.107,0.022511,0.048975,19.936949,4.947,24.544575,31.789754,0.052267,0.004501,98.939975,0.434932,1.0,1.0
0.5,8.0,11200.0,6560000.0,2,True,969.8,4.41,1.36,135.56,0.101,0.022149,0.049249,19.549815,4.915167,24.157282,31.422104,0.051662,0.004521,98.303314,0.432277,1.0,1.0
0.5,8.0,11200.0,6560000.0,3,True,933.8,4.06,3.94,132.2,0.113,0.022333,0.049192,19.749762,4.990584,24.465443,31.397327,0.051622,0.003636,99.811655,0.445311,1.0,1.0
0.5,16.0,22400.0,13120000.0,1,True,964.3,5.12,1.17,144.91,0.107,0.01121,0.033699,9.584787,4.765015,14.269319,19.448155,0.031976,0.000848,95.300274,0.436039,1.0,1.0
0.5,16.0,22400.0,13120000.0,2,True,958.0,5.05,1.98,147.04,0.097,0.010786,0.031765,9.1218,4.766084,13.834547,18.876501,0.031036,0.000603,95.321663,0.446845,1.0,1.0
0.5,16.0,22400.0,13120000.0,3,True,953.7,5.0,1.6,143.95,0.105,0.010964,0.032359,9.335914,4.769111,14.043368,19.148534,0.031483,0.000658,95.382193,0.441336,1.0,1.0
0.56,1.0,1400.0,820000.0,1,True,953.2,2.48,3.22,146.11,0.105,0.049347,0.0499,44.720596,12.329271,56.463919,63.545484,0.104478,0.009922,112.084269,0.491999,1.0,1.0
0.56,1.0,1400.0,820000.0,2,True,951.8,2.51,3.99,151.67,0.107,0.049357,0.0499,44.447035,12.253197,56.119365,63.533289,0.104458,0.009069,111.392688,0.488925,1.0,1.0
0.56,1.0,1400.0,820000.0,3,True,891.7,2.41,5.8,142.74,0.159,0.049349,0.0499,44.402194,12.24073,56.028597,63.446203,0.104315,0.010054,111.279346,0.488357,1.0,1.0
0.56,2.0,2800.0,1640000.0,1,True,987.6,2.16,0.92,169.95,0.094,0.048392,0.0499,44.149612,12.297126,55.949879,63.230472,0.10396,0.008419,111.792036,0.496694,1.0,1.0
0.56,2.0,2800.0,1640000.0,2,True,925.7,2.3,5.22,153.3,0.13,0.048385,0.0499,44.17373,12.303476,55.860434,63.11302,0.103767,0.009251,111.849769,0.491287,1.0,1.0
0.56,2.0,2800.0,1640000.0,3,True,923.2,2.82,6.38,126.62,0.121,0.048354,0.0499,43.987624,12.256932,55.603013,62.826795,0.103296,0.009653,111.426637,0.486928,1.0,1.0
0.56,4.0,5600.0,3280000.0,1,True,907.6,2.69,4.46,138.54,0.136,0.041051,0.0499,37.343701,11.880966,48.742634,57.062962,0.09382,0.008163,108.008765,0.475801,1.0,1.0
0.56,4.0,5600.0,3280000.0,2,True,915.2,2.66,5.26,143.97,0.138,0.041051,0.0499,37.484124,11.921585,48.899188,57.06399,0.093821,0.007874,108.378031,0.479524,1.0,1.0
0.56,4.0,5600.0,3280000.0,3,True,937.5,2.81,3.55,136.67,0.127,0.040827,0.0499,37.267782,11.894056,48.623091,56.663936,0.093164,0.008087,108.127767,0.476219,1.0,1.0
0.56,8.0,11200.0,6560000.0,1,True,948.1,3.63,3.31,132.01,0.114,0.022904,0.049407,20.364408,11.110808,31.070507,39.088513,0.064267,0.004769,101.007334,0.4488,1.0,1.0
0.56,8.0,11200.0,6560000.0,2,True,920.2,3.8,3.68,141.36,0.117,0.022718,0.049083,20.193939,11.121954,30.927671,39.013568,0.064144,0.004459,101.10866,0.452173,1.0,1.0
0.56,8.0,11200.0,6560000.0,3,True,900.8,3.52,3.98,132.89,0.174,0.022928,0.049358,20.427393,11.110157,31.148669,39.173676,0.064407,0.004857,101.001417,0.446702,1.0,1.0
0.56,16.0,22400.0,13120000.0,1,True,930.5,4.05,3.46,135.76,0.124,0.011043,0.033294,9.77249,10.767028,20.442084,26.851498,0.044148,0.001465,97.882056,0.432544,1.0,1.0
0.56,16.0,22400.0,13120000.0,2,True,901.0,4.28,4.21,136.65,0.14,0.011246,0.035191,10.002911,10.750089,20.578234,27.075349,0.044516,0.001996,97.728071,0.429251,1.0,1.0
0.56,16.0,22400.0,13120000.0,3,True,907.2,4.45,4.95,138.84,0.126,0.011456,0.035427,10.17205,10.791914,20.780877,27.332638,0.044939,0.002304,98.108295,0.437437,1.0,1.0
0.62,1.0,1400.0,820000.0,1,True,939.4,2.58,3.1,139.5,0.133,0.049407,0.0499,46.275579,19.710687,64.846706,70.667093,0.116187,0.01773,115.945208,0.503516,1.0,1.0
0.62,1.0,1400.0,820000.0,2,True,912.9,2.42,4.95,146.88,0.149,0.049405,0.0499,46.067757,19.620827,64.547638,70.521492,0.115947,0.01755,115.41662,0.502363,1.0,1.0
0.62,1.0,1400.0,820000.0,3,True,970.0,2.26,1.77,160.81,0.107,0.049421,0.0499,46.115374,19.640596,64.700513,70.641762,0.116145,0.016434,115.532908,0.50358,1.0,1.0
0.62,2.0,2800.0,1640000.0,1,True,929.8,2.43,4.11,140.57,0.124,0.048494,0.0499,45.286538,19.474131,63.777594,70.222472,0.115456,0.016488,114.553703,0.498168,1.0,1.0
0.62,2.0,2800.0,1640000.0,2,True,974.1,2.48,2.42,157.16,0.106,0.04852,0.0499,45.284126,19.468036,63.608809,69.930739,0.114976,0.01695,114.517847,0.496504,1.0,1.0
0.62,2.0,2800.0,1640000.0,3,True,924.1,2.39,3.35,148.98,0.152,0.0485,0.0499,45.700579,19.64582,64.268782,70.091492,0.11524,0.017336,115.563637,0.506723,1.0,1.0
0.62,4.0,5600.0,3280000.0,1,True,922.2,2.7,4.45,144.21,0.124,0.041854,0.0499,39.518345,19.101221,57.398053,64.487846,0.106027,0.016393,112.360111,0.488747,1.0,1.0
0.62,4.0,5600.0,3280000.0,2,True,945.3,2.8,3.58,130.77,0.12,0.041585,0.0499,39.119236,18.996483,57.08083,64.379635,0.105849,0.015103,111.744005,0.486781,1.0,1.0
0.62,4.0,5600.0,3280000.0,3,True,957.9,2.85,3.51,137.45,0.12,0.041766,0.0499,39.487202,19.128742,57.61043,64.746617,0.106453,0.015229,112.522001,0.494029,1.0,1.0
0.62,8.0,11200.0,6560000.0,1,True,963.0,3.05,3.28,133.0,0.103,0.023681,0.049443,21.589674,17.841252,38.912169,47.016604,0.077302,0.005946,104.948528,0.470527,1.0,1.0
0.62,8.0,11200.0,6560000.0,2,True,846.1,3.12,7.7,116.73,0.159,0.023669,0.049468,21.621788,17.758421,38.760183,46.958666,0.077207,0.006867,104.46129,0.46508,1.0,1.0
0.62,8.0,11200.0,6560000.0,3,True,956.6,3.22,1.87,145.65,0.112,0.023468,0.049292,21.244,17.687707,38.484075,46.903444,0.077116,0.005813,104.045326,0.466926,1.0,1.0
0.62,16.0,22400.0,13120000.0,1,True,951.1,3.66,2.73,132.17,0.111,0.011438,0.032816,10.285429,17.132159,27.22031,34.488174,0.056703,0.00281,100.777396,0.45002,1.0,1.0
0.62,16.0,22400.0,13120000.0,2,True,942.7,3.47,2.88,137.96,0.12,0.011363,0.032362,10.238344,17.115264,27.124362,34.352009,0.05648,0.002873,100.678013,0.449099,1.0,1.0
0.62,16.0,22400.0,13120000.0,3,True,951.6,3.68,2.72,140.75,0.114,0.011207,0.032079,10.092702,16.974906,26.843782,34.213323,0.056252,0.002809,99.85238,0.442825,1.0,1.0
